Statistics results for Thu Feb 14 13:05:35 AST 2019
Dataset: F:\Mouniera_ADLQ\TAC_Gene_list_ADLQ_QCRI\QCRI\Gene_list_QCRI_updated_F.pgex
Pathway directory: F:\Pathway_analysis\Pathvisio\Pathways\wikipathways_Homo_sapiens_Curation-AnalysisCollection__gpml
Gene database: F:\Pathway_analysis\Pathvisio\DataBases\Hs_Derby_Ensembl_85.bridge, F:\Pathway_analysis\Pathvisio\DataBases\interactions_20160927.bridge
Criterion: (   [FDR.P.val]   <= 0.05)   AND ( [Fold.Change] >= 2  OR [Fold.Change] <=-2 ) 
Calculation method: pathway-centric. Calculations are performed after mapping data to pathways.
Total data points (N): 7605
Data points meeting criterion (R): 1

Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Exercise-induced Circadian Regulation	1	48	49	2.08%	12.55	0.001
VEGFA-VEGFR2 Signaling Pathway	1	235	238	0.43%	5.60	0.019
Colchicine Metabolic Pathway	0	1	5	0.00%	-0.01	0.984
Glucose Homeostasis	0	1	24	0.00%	-0.01	0.999
Influenza A virus infection	0	1	16	0.00%	-0.01	0.999
mir34a and TGIF2 in osteoclastogenesis	0	1	5	0.00%	-0.01	0.985
One carbon donor	0	1	25	0.00%	-0.01	0.999
Butyrate-induced histone acetylation	0	2	11	0.00%	-0.02	0.999
Evolocumab Mechanism	0	2	5	0.00%	-0.02	0.879
Felbamate Metabolism	0	2	12	0.00%	-0.02	0.999
Hypoxia-mediated EMT and Stemness	0	2	6	0.00%	-0.02	0.964
Lidocaine metabolism	0	2	11	0.00%	-0.02	0.999
Proprotein convertase subtilisin/kexin type 9 (PCSK9) mediated LDL receptor degradation	0	2	3	0.00%	-0.02	0.422
Degradation pathway of sphingolipids, including diseases	0	3	49	0.00%	-0.02	0.999
Amino acid conjugation of benzoic acid	0	4	14	0.00%	-0.02	0.998
Caffeine and Theobromine metabolism	0	4	17	0.00%	-0.02	0.999
Diclofenac Metabolic Pathway	0	4	12	0.00%	-0.02	0.997
eIF5A regulation in response to inhibition of the nuclear export system	0	4	6	0.00%	-0.02	0.484
miR-222 in Exercise-Induced Cardiac Growth	0	4	5	0.00%	-0.02	0.207
Nicotine Activity on Chromaffin Cells	0	4	10	0.00%	-0.02	0.962
Oxytocin signaling	0	4	10	0.00%	-0.02	0.964
Peroxisomal beta-oxidation of tetracosanoyl-CoA	0	4	17	0.00%	-0.02	0.999
Polyol Pathway	0	4	13	0.00%	-0.02	0.994
Serotonin Receptor 2 and STAT3 Signaling	0	4	6	0.00%	-0.02	0.481
Catalytic cycle of mammalian Flavin-containing MonoOxygenases (FMOs)	0	5	14	0.00%	-0.03	0.998
miR-517 relationship with ARCN1 and USP1	0	5	7	0.00%	-0.03	0.403
RNA interference	0	5	6	0.00%	-0.03	0.155
Secretion of Hydrochloric Acid in Parietal Cells	0	5	15	0.00%	-0.03	0.998
Sulindac Metabolic Pathway	0	5	11	0.00%	-0.03	0.935
Synthesis and Degradation of Ketone Bodies	0	5	13	0.00%	-0.03	0.994
TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer	0	5	11	0.00%	-0.03	0.945
Benzene metabolism	0	6	17	0.00%	-0.03	0.997
LncRNA-mediated mechanisms of therapeutic resistance	0	6	14	0.00%	-0.03	0.971
Metastatic brain tumor	0	6	28	0.00%	-0.03	0.999
mir-124 predicted interactions with cell cycle and differentiation 	0	6	8	0.00%	-0.03	0.304
miRNA Biogenesis	0	6	8	0.00%	-0.03	0.318
Nicotine Metabolism	0	6	18	0.00%	-0.03	0.998
Robo4 and VEGF Signaling Pathways Crosstalk	0	6	7	0.00%	-0.03	0.110
SCFA and skeletal muscle substrate metabolism	0	6	17	0.00%	-0.03	0.995
Thyroxine (Thyroid Hormone) Production	0	6	12	0.00%	-0.03	0.923
Acetylcholine Synthesis	0	7	18	0.00%	-0.03	0.996
Aflatoxin B1 metabolism	0	7	16	0.00%	-0.03	0.984
Arachidonate Epoxygenase / Epoxide Hydrolase	0	7	18	0.00%	-0.03	0.997
Arylamine metabolism	0	7	11	0.00%	-0.03	0.683
DDX1 as a regulatory component of the Drosha microprocessor	0	7	8	0.00%	-0.03	0.081
Effects of Nitric Oxide	0	7	16	0.00%	-0.03	0.987
EV release from cardiac cells and their functional effects	0	7	17	0.00%	-0.03	0.993
Gastric acid production	0	7	22	0.00%	-0.03	0.999
Glial Cell Differentiation	0	7	9	0.00%	-0.03	0.251
 Hfe effect on hepcidin production	0	7	8	0.00%	-0.03	0.084
Hypothetical Craniofacial Development Pathway	0	7	11	0.00%	-0.03	0.634
miR-148a/miR-31/FIH1/HIF1α-Notch signaling in glioblastoma 	0	7	10	0.00%	-0.03	0.464
Pentose Phosphate Pathway	0	7	21	0.00%	-0.03	0.998
ApoE and miR-146 in inflammation and atherosclerosis	0	8	11	0.00%	-0.03	0.411
ATR Signaling	0	8	10	0.00%	-0.03	0.201
Codeine and Morphine Metabolism	0	8	17	0.00%	-0.03	0.971
Dual hijack model of Vif in HIV infection	0	8	9	0.00%	-0.03	0.064
Folate-Alcohol and Cancer Pathway	0	8	23	0.00%	-0.03	0.999
FTO Obesity Variant Mechanism	0	8	11	0.00%	-0.03	0.411
Glucocorticoid & Mineralcorticoid Metabolism	0	8	25	0.00%	-0.03	0.999
Insulin signalling in human adipocytes (diabetic condition)	0	8	13	0.00%	-0.03	0.746
Insulin signalling in human adipocytes (normal condition)	0	8	16	0.00%	-0.03	0.951
Metabolism of Spingolipids in ER and Golgi apparatus	0	8	68	0.00%	-0.03	0.999
NAD Biosynthesis II (from tryptophan)	0	8	34	0.00%	-0.03	0.999
NLR Proteins	0	8	11	0.00%	-0.03	0.378
Non-homologous end joining	0	8	9	0.00%	-0.03	0.047
Phase I biotransformations, non P450	0	8	13	0.00%	-0.03	0.761
TFs Regulate miRNAs related to cardiac hypertrophy	0	8	16	0.00%	-0.03	0.949
Benzo(a)pyrene metabolism	0	9	17	0.00%	-0.03	0.929
Heme Biosynthesis	0	9	28	0.00%	-0.03	0.999
Interleukin-1 Induced Activation of NF-kappa-B	0	9	13	0.00%	-0.03	0.507
Macrophage markers	0	9	10	0.00%	-0.03	0.045
Methylation Pathways	0	9	15	0.00%	-0.03	0.828
Mismatch repair	0	9	10	0.00%	-0.03	0.060
Tgif disruption of Shh signaling	0	9	10	0.00%	-0.03	0.038
Composition of Lipid Particles	0	10	21	0.00%	-0.04	0.989
Leptin and adiponectin	0	10	14	0.00%	-0.04	0.444
Liver X Receptor Pathway	0	10	12	0.00%	-0.04	0.123
Steroid Biosynthesis	0	10	25	0.00%	-0.04	0.998
Trans-sulfuration pathway	0	10	25	0.00%	-0.04	0.999
Type III interferon signaling	0	10	11	0.00%	-0.04	0.033
NAD metabolism, sirtuins and aging	0	11	16	0.00%	-0.04	0.565
Nanoparticle triggered regulated necrosis	0	11	25	0.00%	-0.04	0.996
Nucleotide GPCRs	0	11	15	0.00%	-0.04	0.383
PTF1A related regulatory pathway	0	11	12	0.00%	-0.04	0.025
Serotonin Transporter Activity	0	11	15	0.00%	-0.04	0.399
SRF and miRs in Smooth Muscle Differentiation and Proliferation	0	11	18	0.00%	-0.04	0.818
Vitamin D Metabolism	0	11	21	0.00%	-0.04	0.958
Alanine and aspartate metabolism	0	12	66	0.00%	-0.04	0.999
Bone Morphogenic Protein (BMP) Signalling and Regulation	0	12	13	0.00%	-0.04	0.017
Gene regulatory network modelling somitogenesis 	0	12	13	0.00%	-0.04	0.021
Iron metabolism in placenta	0	12	15	0.00%	-0.04	0.200
MAPK  and NFkB Signalling Pathways Inhibited by Yersinia YopJ	0	12	13	0.00%	-0.04	0.019
RalA downstream regulated genes	0	12	13	0.00%	-0.04	0.017
BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation	0	13	16	0.00%	-0.04	0.135
Cell-type Dependent Selectivity of CCK2R Signaling	0	13	26	0.00%	-0.04	0.990
Development of pulmonary dendritic cells and macrophage subsets	0	13	14	0.00%	-0.04	0.018
Dopamine metabolism	0	13	48	0.00%	-0.04	0.999
EDA Signalling in Hair Follicle Development	0	13	16	0.00%	-0.04	0.153
Estrogen Receptor Pathway	0	13	15	0.00%	-0.04	0.079
Homologous recombination	0	13	14	0.00%	-0.04	0.025
Kennedy pathway from Sphingolipids	0	13	32	0.00%	-0.04	0.999
MFAP5-mediated ovarian cancer cell motility and invasiveness	0	13	18	0.00%	-0.04	0.468
Osteopontin Signaling	0	13	14	0.00%	-0.04	0.017
Serotonin and anxiety-related events	0	13	16	0.00%	-0.04	0.152
Valproic acid pathway	0	13	36	0.00%	-0.04	0.999
Cell Differentiation - Index	0	14	56	0.00%	-0.04	0.999
ERK Pathway in Huntington's Disease	0	14	16	0.00%	-0.04	0.055
H19 action Rb-E2F1 signaling and CDK-β-catenin activity	0	14	17	0.00%	-0.04	0.131
Irinotecan Pathway	0	14	18	0.00%	-0.04	0.225
Osteoblast Signaling	0	14	18	0.00%	-0.04	0.265
TarBasePathway	0	14	19	0.00%	-0.04	0.416
Biogenic Amine Synthesis	0	15	33	0.00%	-0.04	0.999
Cholesterol Biosynthesis	0	15	32	0.00%	-0.04	0.996
Fatty Acid Omega Oxidation	0	15	20	0.00%	-0.04	0.374
GPCRs, Class C Metabotropic glutamate, pheromone	0	15	15	0.00%	-0.04	0.001
GPR40 Pathway	0	15	20	0.00%	-0.04	0.335
Hedgehog Signaling Pathway	0	15	17	0.00%	-0.04	0.038
Role of Osx and miRNAs in tooth development	0	15	39	0.00%	-0.04	0.999
Transcriptional activation by NRF2	0	15	20	0.00%	-0.04	0.356
Cori Cycle	0	16	53	0.00%	-0.05	0.999
Deregulation of Rab and Rab Effector Genes in Bladder Cancer	0	16	17	0.00%	-0.05	0.007
ID signaling pathway	0	16	17	0.00%	-0.05	0.009
Interactome of polycomb repressive complex 2 (PRC2) 	0	16	17	0.00%	-0.05	0.006
NAD+ metabolism	0	16	34	0.00%	-0.05	0.997
Osteoclast Signaling	0	16	21	0.00%	-0.05	0.281
SREBF and miR33 in cholesterol and lipid homeostasis	0	16	19	0.00%	-0.05	0.088
TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)	0	16	37	0.00%	-0.05	0.999
ACE Inhibitor Pathway	0	17	29	0.00%	-0.05	0.933
Amplification and Expansion of Oncogenic Pathways as Metastatic Traits	0	17	18	0.00%	-0.05	0.008
Canonical and Non-Canonical TGF-B signaling	0	17	18	0.00%	-0.05	0.007
Drug Induction of Bile Acid Pathway	0	17	45	0.00%	-0.05	0.999
IL-9 Signaling Pathway	0	17	18	0.00%	-0.05	0.007
Leptin Insulin Overlap	0	17	20	0.00%	-0.05	0.072
miR-509-3p alteration of YAP1/ECM axis	0	17	19	0.00%	-0.05	0.019
Mitochondrial LC-Fatty Acid Beta-Oxidation	0	17	24	0.00%	-0.05	0.513
NOTCH1 regulation of human endothelial cell calcification	0	17	18	0.00%	-0.05	0.006
Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds	0	17	33	0.00%	-0.05	0.992
Serotonin and anxiety	0	17	22	0.00%	-0.05	0.259
TCA Cycle	0	17	48	0.00%	-0.05	0.999
4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression	0	18	31	0.00%	-0.05	0.952
Estrogen metabolism	0	18	45	0.00%	-0.05	0.999
Ganglio Sphingolipid Metabolism	0	18	39	0.00%	-0.05	0.998
miRNAs involved in DNA damage response	0	18	70	0.00%	-0.05	0.999
Simplified Depiction of MYD88 Distinct Input-Output Pathway	0	18	20	0.00%	-0.05	0.017
Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway	0	18	19	0.00%	-0.05	0.005
Sulfation Biotransformation Reaction	0	18	29	0.00%	-0.05	0.885
TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition	0	18	20	0.00%	-0.05	0.013
Apoptosis Modulation by HSP70	0	19	22	0.00%	-0.05	0.041
Farnesoid X Receptor  Pathway	0	19	21	0.00%	-0.05	0.017
Glutathione metabolism	0	19	57	0.00%	-0.05	0.999
Mitochondrial Gene Expression	0	19	23	0.00%	-0.05	0.096
Nucleotide Metabolism	0	19	37	0.00%	-0.05	0.995
Overview of nanoparticle effects	0	19	41	0.00%	-0.05	0.998
Serotonin Receptor 4/6/7 and NR3C Signaling	0	19	22	0.00%	-0.05	0.043
Small Ligand GPCRs	0	19	25	0.00%	-0.05	0.280
BMP Signaling Pathway in Eyelid Development	0	20	23	0.00%	-0.05	0.038
Eicosanoid Synthesis	0	20	45	0.00%	-0.05	0.999
Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex	0	20	26	0.00%	-0.05	0.279
Hypertrophy Model	0	20	21	0.00%	-0.05	0.007
Imatinib and Chronic Myeloid Leukemia	0	20	25	0.00%	-0.05	0.143
Nanomaterial induced apoptosis	0	20	30	0.00%	-0.05	0.714
Serotonin Receptor 2 and ELK-SRF/GATA4 signaling	0	20	24	0.00%	-0.05	0.083
Urea cycle and metabolism of amino groups	0	20	71	0.00%	-0.05	0.999
Glycerophospholipid Biosynthetic Pathway	0	21	94	0.00%	-0.05	0.999
Nicotine Activity on Dopaminergic Neurons	0	21	31	0.00%	-0.05	0.691
Tamoxifen metabolism	0	21	36	0.00%	-0.05	0.958
TP53 Network	0	21	23	0.00%	-0.05	0.007
Complement Activation	0	22	24	0.00%	-0.05	0.006
Fatty Acid Biosynthesis	0	22	36	0.00%	-0.05	0.914
Globo Sphingolipid Metabolism	0	22	29	0.00%	-0.05	0.299
Methionine De Novo and Salvage Pathway	0	22	74	0.00%	-0.05	0.999
miRNA targets in ECM and membrane receptors	0	22	46	0.00%	-0.05	0.999
NAD+ biosynthetic pathways	0	22	37	0.00%	-0.05	0.959
Regulation of Apoptosis by Parathyroid Hormone-related Protein	0	22	24	0.00%	-0.05	0.005
Transcription factor regulation in adipogenesis	0	22	24	0.00%	-0.05	0.012
Type II diabetes mellitus	0	22	28	0.00%	-0.05	0.190
Blood Clotting Cascade	0	23	26	0.00%	-0.06	0.014
Estrogen signaling pathway	0	23	26	0.00%	-0.06	0.015
GPCRs, Class B Secretin-like	0	23	24	0.00%	-0.06	0.003
Nanoparticle triggered autophagic cell death	0	23	29	0.00%	-0.06	0.157
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	0	23	24	0.00%	-0.06	0.000
Angiogenesis	0	24	25	0.00%	-0.06	0.001
EBV LMP1 signaling	0	24	25	0.00%	-0.06	0.003
IL1 and megakaryocytes in obesity	0	24	26	0.00%	-0.06	0.010
Physiological and Pathological Hypertrophy  of the Heart	0	24	27	0.00%	-0.06	0.014
Triacylglyceride Synthesis	0	24	37	0.00%	-0.06	0.837
Wnt/beta-catenin Signaling Pathway in Leukemia	0	24	29	0.00%	-0.06	0.086
Differentiation of white and brown adipocyte   	0	25	26	0.00%	-0.06	0.004
Hypothesized Pathways in Pathogenesis of Cardiovascular Disease	0	25	27	0.00%	-0.06	0.000
IL-7 Signaling Pathway	0	25	26	0.00%	-0.06	0.005
miRNA regulation of p53 pathway in prostate cancer	0	25	37	0.00%	-0.06	0.685
Signal Transduction of S1P Receptor	0	25	26	0.00%	-0.06	0.003
Cytokines and Inflammatory Response	0	26	32	0.00%	-0.06	0.094
EPO Receptor Signaling	0	26	27	0.00%	-0.06	0.002
Glucuronidation	0	26	41	0.00%	-0.06	0.876
PPAR Alpha Pathway	0	26	28	0.00%	-0.06	0.005
Sphingolipid Metabolism	0	26	63	0.00%	-0.06	0.999
Follicle Stimulating Hormone (FSH) signaling pathway	0	27	28	0.00%	-0.06	0.003
Photodynamic therapy-induced unfolded protein response	0	27	28	0.00%	-0.06	0.003
Gastric Cancer Network 1	0	28	32	0.00%	-0.06	0.015
Nanoparticle-mediated activation of receptor signaling	0	28	36	0.00%	-0.06	0.194
One Carbon Metabolism	0	28	57	0.00%	-0.06	0.999
T-Cell Receptor and Co-stimulatory Signaling	0	28	45	0.00%	-0.06	0.940
Canonical  and Non-canonical Notch signaling	0	29	31	0.00%	-0.06	0.004
MAPK Cascade	0	29	33	0.00%	-0.06	0.010
miRs in Muscle Cell Differentiation	0	29	41	0.00%	-0.06	0.548
Statin Pathway	0	29	46	0.00%	-0.06	0.909
TLR4 Signaling and Tolerance	0	29	30	0.00%	-0.06	0.000
Dopaminergic Neurogenesis	0	30	32	0.00%	-0.06	0.004
Extracellular vesicle-mediated signaling in recipient cells	0	30	31	0.00%	-0.06	0.002
Inflammatory Response Pathway	0	30	34	0.00%	-0.06	0.014
