Statistics results for Thu Feb 14 19:32:51 AST 2019
Dataset: F:\Mouniera_ADLQ\TAC_Gene_list_ADLQ_QCRI\Combined\Gene_list_Combined_PValue_updated_F-1.pgex
Pathway directory: F:\Pathway_analysis\Pathvisio\Pathways\wikipathways_Homo_sapiens_Curation-AnalysisCollection__gpml
Gene database: F:\Pathway_analysis\Pathvisio\DataBases\Hs_Derby_Ensembl_85.bridge, F:\Pathway_analysis\Pathvisio\DataBases\interactions_20160927.bridge
Criterion: (    [P.val]    <= 0.05)   AND ( [Fold.Change] >= 1.5  OR [Fold.Change] <=-1.5 ) 
Calculation method: pathway-centric. Calculations are performed after mapping data to pathways.
Total data points (N): 7605
Data points meeting criterion (R): 131

Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Gastric Cancer Network 1	3	28	32	10.71%	3.66	0.004
Osteoblast Signaling	2	14	18	14.29%	3.62	0.012
Osteoclast Signaling	2	16	21	12.50%	3.32	0.014
Fluoropyrimidine Activity	3	33	57	9.09%	3.26	0.006
Cell Cycle	6	102	108	5.88%	3.25	0.005
DNA IR-damage and cellular response via ATR	5	79	91	6.33%	3.16	0.010
miR-517 relationship with ARCN1 and USP1	1	5	7	20.00%	3.14	0.025
Secretion of Hydrochloric Acid in Parietal Cells	1	5	15	20.00%	3.14	0.014
Sulindac Metabolic Pathway	1	5	11	20.00%	3.14	0.009
Type II interferon signaling (IFNG)	3	37	38	8.11%	2.99	0.010
Retinoblastoma (RB) in Cancer	5	87	98	5.75%	2.90	0.007
Regulation of Apoptosis by Parathyroid Hormone-related Protein	2	22	24	9.09%	2.66	0.041
Notch Signaling Pathway	3	45	48	6.67%	2.56	0.022
Glial Cell Differentiation	1	7	9	14.29%	2.56	0.043
miR-148a_miR-31_FIH1_HIF1Alpha-Notch signaling in glioblastoma	1	7	10	14.29%	2.56	0.027
Pentose Phosphate Pathway	1	7	21	14.29%	2.56	0.028
ATR Signaling	1	8	10	12.50%	2.34	0.058
Glucocorticoid & Mineralcorticoid Metabolism	1	8	25	12.50%	2.34	0.039
