Statistics results for Thu Feb 14 16:55:36 AST 2019
Dataset: F:\Mouniera_ADLQ\TAC_Gene_list_ADLQ_QCRI\Combined\Gene_list_Combined_PValue_updated_F-1.pgex
Pathway directory: F:\Pathway_analysis\Pathvisio\Pathways\wikipathways_Homo_sapiens_Curation-AnalysisCollection__gpml
Gene database: F:\Pathway_analysis\Pathvisio\DataBases\Hs_Derby_Ensembl_85.bridge, F:\Pathway_analysis\Pathvisio\DataBases\interactions_20160927.bridge
Criterion: (    [P.val]    <= 0.05)   AND ( [Fold.Change] >= 2  OR [Fold.Change] <=-2 ) 
Calculation method: pathway-centric. Calculations are performed after mapping data to pathways.
Total data points (N): 7605
Data points meeting criterion (R): 18

Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
miR-148a/miR-31/FIH1/HIF1α-Notch signaling in glioblastoma 	1	7	10	14.29%	7.65	0.001
Pentose Phosphate Pathway	1	7	21	14.29%	7.65	0.000
Gastric Cancer Network 1	2	28	32	7.14%	7.53	0.002
PTF1A related regulatory pathway	1	11	12	9.09%	6.05	0.018
Gene regulatory network modelling somitogenesis	1	12	13	8.33%	5.78	0.018
Hedgehog Signaling Pathway	1	15	17	6.67%	5.13	0.029
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways	3	164	182	1.83%	4.24	0.003
Canonical  and Non-canonical Notch signaling	1	29	31	3.45%	3.57	0.063
Zinc homeostasis	1	37	39	2.70%	3.09	0.072
DNA Replication	1	42	50	2.38%	2.87	0.089
ATM Signaling Network in Development and Disease	1	44	49	2.27%	2.79	0.080
Notch Signaling Pathway	1	45	48	2.22%	2.75	0.080
Aryl Hydrocarbon Receptor Pathway	1	46	49	2.17%	2.71	0.088
Exercise-induced Circadian Regulation	1	48	49	2.08%	2.64	0.082
Glycolysis and Gluconeogenesis	1	49	73	2.04%	2.61	0.026
Copper homeostasis	1	53	58	1.89%	2.48	0.097
Notch Signaling Pathway_1	1	61	62	1.64%	2.26	0.102
G1 to S cell cycle control	1	68	69	1.47%	2.10	0.128
Arrhythmogenic Right Ventricular Cardiomyopathy	1	74	81	1.35%	1.98	0.135
DNA IR-damage and cellular response via ATR	1	79	91	1.27%	1.89	0.157
Retinoblastoma (RB) in Cancer	1	87	98	1.15%	1.76	0.158
Neural Crest Differentiation	1	101	102	0.99%	1.57	0.153
Cell Cycle	1	102	108	0.98%	1.56	0.171
DNA Damage Response (only ATM dependent)	1	113	118	0.88%	1.43	0.169
Angiopoietin Like Protein 8 Regulatory Pathway	1	133	156	0.75%	1.23	0.232
NRF2 pathway	1	141	145	0.71%	1.17	0.218
Regulation of toll-like receptor signaling pathway	1	142	153	0.70%	1.16	0.226
EGF_EGFR Signaling Pathway	1	161	163	0.62%	1.01	0.236
VEGFA-VEGFR2 Signaling Pathway	1	235	238	0.43%	0.61	0.997
